;codes;category;scheme;;
6;# 9nst agmt#;1;9;;agreement
7;# 9nst prep#;1;9;;preposition
10;9rel;1;9;;relative
;9nst ext#;1;9;;ext
11;# 9nst#;1;9;;general
17;# 9nst agmt#;1;9;;agreement
18;# 9nst prep#;1;9;;preposition
22;# 9nst#;1;9;;general
34;9rel;1;9;;relative
36;9nst prep;1;9;;preposition
37;9nst prep;1;9;;preposition
38;9nst;1;9;;general
39;9nst;1;9;;general
40;9nst;1;9;;general
43;9nst prep;1;9;;preposition
61;9nst poss.;1;9;;possessive
65;9double feminine, nst;1;9;;genus
66;9nst poss;1;9;;possessive
76;9nst agmt;1;9;;agreement
77;9nst gen;1;9;;genus
81;9w o.;1;9;;word order
95;9nst agmt;1;9;;agreement
105;9nst prep?@.;1;9;;preposition
106;9nst prep.;1;9;;preposition
112;9nst w;1;9;;word
113;9nst.;1;9;;general
114;9nst rel;1;9;;relative
115;9w.o.;1;9;;word order
125;9semantics;1;9;;semantics
134;9nst w o;1;9;;word order
141;9nst agmt;1;9;;agreement
143;9nst w o;1;9;;word order
151;9nst prep;1;9;;preposition
153;9nst w o;1;9;;word order
;#9nst compar.#;1;1;;comparison
;#9nst w.o.#;1;1;;word order
;#9nst agmt.#;1;1;;agreement
;#9nst agmt#;1;1;;agreement
;#9nst prep#;1;1;;preposition
;#9nst prep.#;1;1;;preposition
;#9nst#;1;1;;general
;#9nst verb#;1;1;;verbform
;#9nst gen#;1;1;;genus
;#9semantics;1;1;;semantics
;#9semantics#;1;1;;semantics
;#9nst w o#;1;1;;word order
;#9nst #;1;1;;general
;# 9nst agmt#;1;1;;agreement
;#9nst prep #;1;1;;preposition
;# 9nst prep#;1;1;;preposition
;#9nst existential#;1;1;;existential
;#9rel;1;1;;relative
;9nst ext#;1;1;;ext
;# 9nst#;1;1;;general
;#9nst art#;1;1;;article
;#9nst compar#;1;1;;comparison
;#9nst i.o.#;1;1;;i.o.
;#9rel#;1;1;;relative
;#9nst rel#;1;1;;relative
;#9nst;1;1;;general
;#9nst passive#;1;1;;passive
;#9nst passive?#;1;1;;passive
;#9 nst gen#;1;1;;genus
;#9nst pro#;1;1;;pronoun
;#9semantics of viel#;1;1;;semantics
;#9nst rel?#;1;1;;relative
;#9rel?#;1;1;;relative
;#9nst w o.#;1;1;;word order
;#9 nst poss#;1;1;;possessive
;#9extra art#;1;1;;extra article
;#9nst w o. #;1;1;;word order
;#9nst pers#;1;1;;person
;#9nst gen;1;1;;genus
;#9nst conditional#;1;1;;conditional
;#9semantics.#;1;1;;semantics
;#9nst poss#;1;1;;possessive
4;prep 90 art#;2;9;;article
8;90 art#;2;9;;article
9;# 90 art.;2;9;;article
;90 prep#;2;9;;preposition
15;prep 90 art#;2;9;;article
19;90 art#;2;9;;article
32;90 art;2;9;;article
35;90 obj;2;9;;object
42;90 art;2;9;;article
56;90 subj.;2;9;;subject
58;90 cop.;2;9;;copula
64;9ck 0 subj.;2;9;;subject
73;90 verb;2;9;;VP
78;90 art;2;9;;article
79;90 art.;2;9;;article
84;90 subj;2;9;;subject
104;9no pl/num.;2;9;;plural/numeral
107;90 prep;2;9;;preposition
121;90 obj;2;9;;object
129;90 subj;2;9;;subject
138;90 subj;2;9;;subject
152;90 refl?@;2;9;;reflexive
;#90 subj#;2;1;;subject
;#90 art.#;2;1;;article
;#90 obj#;2;1;;object
;#90 prep#;2;1;;preposition
;#90 art#;2;1;;article
;#90 verb#;2;1;;VP
;#90 obj.#;2;1;;object
;#90 prep #;2;1;;preposition
;#90 subj;2;1;;subject
;#90 aux #;2;1;;auxiliary
;# 90 art 90 prep#;2;1;;article/preposition
;#90 cop#;2;1;;copula
;#90 refl#;2;1;;reflexive
;#90 prep.#;2;1;;preposition
;#90 cop?#;2;1;;copula
;#90 sub#;2;1;;subject
;#9 0 art#;2;1;;article
;#0 art#;2;1;;article
;#90 rel#;2;1;;relative
;#9 0 art/det#;2;1;;article/determinant
;#9 0 subj#;2;1;;subject
;#9 0 cop#;2;1;;copula
;#9 0 existential#;2;1;;existential
;#90 art?#;2;1;;article
;#9no pl/num#;2;1;;plural/numeral
;#90 subj?#;2;1;;subject
59;9ck tape;3;9;;check tape
60;9besondere Form;3;9;;form
63;9direct quote?@.;3;9;;quote
;#unclear script#;3;1;;unclear script
;#Gestik#;3;1;;gesture
;#zeigt auf Besen#;3;1;;showing
;#unklar#;3;1;;unclear
;#innere Monolog#;3;1;;inner monologue
;#? #;3;1;;Q
;#zeigt auf ihre Locken#;3;1;;showing
;#Pause#;3;1;;pause
;#unverstaendlich#;3;1;;intelligible
;#Kopfschuetteln#;3;1;;shakes head
;# zeigt auf das Richtige#;3;1;;showing correct
;# zeigt #;3;1;;showing
;#9misunderstand#;3;1;;misunderstanding
;# ---#;3;1;;Q
;#9misunderstands#;3;1;;misunderstanding
;---#;3;1;;Q
;#grrrrrr#;3;1;;Q
;unverstaendlich;3;1;;intelligible
;#check tape#;3;1;;check tape
;#lachen#;3;1;;laughter
;#9…#;3;1;;Q
;#...#;3;1;;Q
;"#minunderstands ""wann""?#";3;1;;misunderstanding
;"#misunderstands ""welchen""#";3;1;;misunderstanding
;#self-correction#;3;1;;self-correction
;# unclear script#;3;1;;script unclear
;#script unclear#;3;1;;script unclear
;#Lachen#;3;1;;laughter
;#9..#;3;1;;Q
;…@;3;2;;pause
1;;;;;
2;;;;;
3;;;;;
5;;;;;
12;;;;;
13;;;;;
14;;;;;
16;;;;;
20;;;;;
21;;;;;
23;;;;;
24;;;;;
25;;;;;
26;;;;;
27;;;;;
28;;;;;
29;;;;;
30;;;;;
31;;;;;
33;;;;;
41;;;;;
44;;;;;
45;;;;;
46;;;;;
47;;;;;
48;;;;;
49;;;;;
50;;;;;
51;;;;;
52;;;;;
53;;;;;
54;;;;;
55;;;;;
57;;;;;
62;;;;;
67;;;;;
68;;;;;
69;;;;;
70;;;;;
71;;;;;
72;;;;;
74;;;;;
75;;;;;
80;;;;;
82;;;;;
83;;;;;
85;;;;;
86;;;;;
87;;;;;
88;;;;;
89;;;;;
90;;;;;
91;;;;;
92;;;;;
93;;;;;
94;;;;;
96;;;;;
97;;;;;
98;;;;;
99;;;;;
100;;;;;
101;;;;;
102;;;;;
103;;;;;
108;;;;;
109;;;;;
110;;;;;
111;;;;;
116;;;;;
117;;;;;
118;;;;;
119;;;;;
120;;;;;
122;;;;;
123;;;;;
124;;;;;
126;;;;;
127;;;;;
128;;;;;
130;;;;;
131;;;;;
132;;;;;
133;;;;;
135;;;;;
136;;;;;
137;;;;;
139;;;;;
140;;;;;
142;;;;;
144;;;;;
145;;;;;
146;;;;;
147;;;;;
148;;;;;
149;;;;;
150;;;;;
;;;;;
154;;;;;
155;;;;;
156;;;;;
157;;;;;
158;;;;;
159;;;;;
160;;;;;
